Game Title,Genre,Graphics,Physics and Collision Detection,Level Design and World Building,Gameplay Mechanics,AI and NPC Behavior,Audio,UI and UX,Multiplayer and Networking,Scripting and Programming,Comments
Call of Duty: Modern Warfare,Shooter,900,850,880,870,800,860,830,950,880,"High-quality graphics and multiplayer experience, but some issues with AI."
Battlefield V,Shooter,880,830,850,860,790,850,820,920,870,"Great graphics and multiplayer, but AI and collision detection could be better."
Overwatch,Shooter,870,820,860,880,800,840,810,930,860,"Strong gameplay mechanics and multiplayer, but occasional issues with AI and collision detection."
Halo 5: Guardians,Shooter,850,800,870,860,780,830,800,910,850,"Excellent multiplayer and graphics, but some issues with AI and collision detection."
Apex Legends,Shooter,890,840,880,870,810,850,820,940,870,"Great graphics and multiplayer, but some issues with AI and collision detection."
The Witcher 3: Wild Hunt,Shooter,850,800,900,880,750,820,800,700,850,"The game features an immersive storyline with excellent world-building and complex gameplay mechanics, but the AI behavior could be improved."
Final Fantasy XV,RPG,820,780,850,860,730,810,780,0,840,Great graphics and story but some issues with AI and collision detection.
Skyrim,RPG,800,750,860,870,720,790,760,0,830,"Immersive world and gameplay, but some bugs and AI issues."
Dragon Age: Inquisition,RPG,840,790,880,860,740,800,770,0,850,"Strong story and graphics, but occasional issues with gameplay mechanics and AI."
Persona 5,RPG,830,810,870,850,760,810,790,0,860,"Excellent graphics and story with solid gameplay mechanics, but limited multiplayer options."
