Game Title,Genre,Graphics,Physics and Collision Detection,Level Design and World Building,Gameplay Mechanics,AI and NPC Behavior,Audio,UI and UX,Multiplayer and Networking,Scripting and Programming,Comments
Test Game 1,Shooter,850,800,900,850,700,750,800,650,750,This is a test game 1
Test Game 2,Shooter,800,850,850,800,750,900,850,700,800,This is a test game 2
Test Game 3,Shooter,750,750,800,850,900,850,800,750,850,This is a test game 3
Test Game 4,Shooter,900,850,750,900,850,800,750,900,800,This is a test game 4
Test Game 5,Shooter,800,800,850,900,700,850,750,800,900,This is a test game 5
Test Game 6,Shooter,870,810,910,860,710,760,810,660,760,This is a test game 6
Test Game 7,Shooter,810,860,860,810,760,910,860,710,860,This is a test game 7
Test Game 8,Shooter,760,760,810,860,910,860,810,760,910,This is a test game 8
Test Game 9,Shooter,910,860,760,910,860,810,760,910,860,This is a test game 9
Test Game 10,Shooter,810,810,860,910,710,860,760,810,910,This is a test game 10
Test Game 11,Shooter,860,810,910,860,710,760,810,660,760,This is a test game 11
Test Game 12,Shooter,810,860,860,810,760,910,860,710,860,This is a test game 12
Test Game 13,Shooter,760,760,810,860,910,860,810,760,910,This is a test game 13
Test Game 14,Shooter,910,860,760,910,860,810,760,910,860,This is a test game 14
Test Game 15,Shooter,810,810,860,910,710,860,760,810,910,This is a test game 15
Test Game 16,Shooter,860,810,910,860,710,760,810,660,760,This is a test game 16
Test Game 17,Shooter,810,860,860,810,760,910,860,710,860,This is a test game 17
Test Game 18,Shooter,760,760,810,860,910,860,810,760,910,This is a test game 18
Test Game 19,Shooter,910,860,760,910,860,810,760,910,860,This is a test game 19
Test Game 20,Shooter,810,810,860,910,710,860,760,810,910,This is a test game 20
Test Game 21,Shooter,850,900,850,700,750,800,650,750,800,This is a test game 21
Test Game 22,Shooter,800,850,850,750,900,850,700,800,850,This is a test game 22
Test Game 23,Shooter,750,800,850,900,850,800,750,850,800,This is a test game 23
Test Game 24,Shooter,900,850,750,900,700,850,800,900,850,This is a test game 24
Test Game 25,Shooter,850,900,850,700,750,800,650,750,800,This is a test game 25
Test Game 26,Shooter,800,850,850,750,900,850,700,800,850,This is a test game 26
Test Game 27,Shooter,750,800,850,900,850,800,750,850,800,This is a test game 27
Test Game 28,Shooter,900,850,750,900,700,850,800,900,850,This is a test game 28
